# 
# Mensagens gerais
# 
"MN080";"Já existe sistema com sigla ou nome informado para a empresa selecionada. ";"Erro"
"MN081";"CEP não encontrado.";"Erro"
"MN082";"CPF não cadastrado! Informe no campo abaixo o nome do responsável sem abreviações.";"Confirmação"
"MN083";"CNPJ não cadastrado. É necessário cadastrar o CNPJ para finalizar a operação. Deseja cadastrá-lo agora?";"Confirmação"
"MN084";"Deseja realmente excluir essa Unidade e este Tipo de Vínculo?";"Confirmação"
"MN085";"Unidade Organizacional e Tipo de Vínculo não poderão ser excluídos. Foram cadastrados pelo  <sigla do sistema>.";"Erro"
"MN086";"Unidade Organizacional não pode ser inativada, pois existe pelo menos um perfil ativo associado a esta Unidade.";"Erro"
"MN087";"Já existe um documento cadastrado com este tipo.";"Erro"
"MN088";"Já existe um endereço cadastrado com este tipo.";"Erro"
"MN089";"Já existe um telefone cadastrado com este tipo.";"Erro"
"MN090";"Já existe um e-mail cadastrado com este tipo.";"Erro"
"MN091";"Já existe uma conta cadastrada com este tipo.";"Erro"
"MN092";"Data Final do Vínculo é anterior a Data Inicial do Vínculo.";"Erro"
"MN093";"Não é possível cadastrar um vínculo do mesmo tipo já cadastrado, pois a data final deste não foi informada.";"Erro"
"MN094";"A informação do campo pode ser alterada, porém não pode ser eliminada.";"Erro"
"MN095";"Por favor, informe um e-mail válido.";"Erro"
"MN096";"Data Término é anterior a Data Início.";"Erro"
"MN097";"Não é possível cadastrar um mesmo município para o mesmo tipo de intervenção.";"Erro"
"MN098";"Não é possível cadastrar um vínculo do mesmo tipo já cadastrado, pois a data inicial informada está dentro do período já cadastrado.";"Erro"
"MN099";"Informe o Endereço ou Endereço no País de Origem.";"Erro"
"MN100";"Já existe uma pessoa física cadastrada com o CPF informado.";"Erro"
"MN101";"Já existe uma pessoa jurídica cadastrada com o CNPJ informado.";"Erro"
"MN102";"Já existe um estrangeiro cadastrado com o nome, nome da mãe e data  de nascimento informados.";"Erro"
"MN103";"O Nome informado já existe. Deseja alterar as informações?";"Confirmação"
"MN104";"Não foi possível anexar o arquivo. Ele ultrapassa o limite de 500 Kb.";"Erro"
"MN105";"Comprovante validado com sucesso.";"Sucesso"
"MN106";"Homologação realizada com sucesso.";"Sucesso"
"MN107";"Comprovante rejeitado.";"Sucesso"
"MN108";"Não foram identificados em nosso sistema os comprovantes solicitados para acesso ao sistema desejado. Deseja informá-los agora?";"Alerta"
"MN109";"Os comprovantes informados ainda não foram validados pelo ICMBio. Favor aguardar 24 horas e acessar novamente.";"Alerta"
"MN110";"Cadastro não homologado.";"Sucesso"
"MN111";"Cadastro com pendência de homologação.";"Sucesso"
"MN112";"Comprovantes inseridos com sucesso.";"Sucesso"
"MN113";"E-mail não cadastrado. É necessário cadastrar o e-mail para finalizar a operação. Deseja cadastrá-lo agora?";"Confirmação"
"MN114";"Telefone do responsável não cadastrado. É necessário cadastrar o telefone para finalizar a operação. Deseja cadastrá-lo agora?";"Confirmação"
"MN115";"Nome do Responsável não encontrado! O responsável pelo sistema deve constar no cadastro de pessoas antes de prosseguir.";"Alerta"
"MN116";"Não é possível inativar o tipo de unidade. Existe vínculo com uma unidade organizacional.";"Erro"
"MN117";"Não é possível alterar a posição deste tipo de unidade para um nível superior.";"Erro"
"MN118";"A justificativa deve conter no mínimo 05 palavras.";"Erro"
"MN119";"Passaporte e/ou E-mail não encontrado na base de dados.";"Erro"
"MN120";"CNPJ e/ou E-mail não encontrado na base de dados.";"Erro"
"MN121";"Atenção! As informações estão incompletas.  É necessário retornar ao cadastro de pessoa para complementar os dados.";"Alerta"
"MN122";"Não foi possível anexar o arquivo. Ele ultrapassa as dimensões exigidas de < X >  x  < Y >.";"Erro"
"MN123";"CPF não encontrado na base de dados.";"Erro"
"MN124";"CPF e/ou E-mail não encontrado na base de dados.";"Erro"
"MN125";"Atenção! É necessário definir qual é a rota principal da funcionalidade.";"Alerta"
"MN126";"Dados salvos com sucesso.";"Sucesso"
"MN127";"Deseja atribuir perfil ao usuário cadastrado?";"Confirmação"
"MN128";"Data inválida.";"Erro"
"MN129";"O CPF informado já existe. Deseja alterar as informações?";"Confirmação"
"MN130";"Confirma exclusão do registro?";"Confirmação"
"MN131";"Exclusão realizada com sucesso.";"Sucesso"
"MN132";"Tem certeza que deseja reativar esta pessoa?";"Confirmação"
"MN133";"Pessoa reativada com sucesso.";"Sucesso"
"MN134";"Tem certeza que deseja inativar esta pessoa?";"Confirmação"
"MN135";"Pessoa inativada com sucesso.";"Sucesso"
"MN136";"No mínimo 01 (um) Perfil deve ser selecionado.";"Erro"
"MN137";"Deseja retirar o perfil atribuído ao usuário?";"Confirmação"
"MN138";"CPF não encontrado na base de dados. Favor cadastrar este usuário no cadastro de Pessoas.";"Erro"
"MN139";"Cadastro realizado com sucesso. Um link foi enviado ao seu e-mail para ativação do cadastro.";"Sucesso"
"MN140";"CNPJ não encontrado na base de dados.";"Erro"
"MN141";"O CNPJ informado já existe. Deseja alterar as informações?";"Confirmação"
"MN142";"Deseja realmente reativar este registro?";"Confirmação"
"MN143";"Registro reativado com sucesso.";"Sucesso"
"MN144";"Deseja realmente inativar este registro?";"Confirmação"
"MN145";"Registro inativado com sucesso.";"Sucesso"
"MN146";"Cadastro ativado com sucesso.";"Sucesso"
"MN147";"E-mail já cadastrado na base de dados.";"Erro"
"MN148";"Para Inativar uma Unidade Organizacional Interna é necessário informar um Ato Legal.";"Alerta"
"MN149";"Unidade vinculada com sucesso.";"Sucesso"
"MN150";"Já existe um estágio de implementação com o nome informado.";"Erro"
"MN151";"Deseja realmente inativar este estágio de implementação? ";"Confirmação"
"MN152";"Estágio de implementação inativado com sucesso.";"Sucesso"
"MN153";"Deseja realmente reativar este estágio de implementação? ";"Confirmação"
"MN154";"Estágio de implementação reativado com sucesso.";"Sucesso"
"MN155";"Para Vincular uma Unidade Organizacional Interna é necessário informar um Ato Legal.";"Alerta"
"MN156";"Já existe uma unidade organizacional externa com a sigla e/ou nome informado.";"Erro"
"MN157";"Informe pelo menos um endereço.";"Alerta"
"MN158";"Não é possível inativar a categoria, pois existe vínculo com unidade organizacional.";"Alerta"
"MN159";"CEP inválido.";"Alerta"
"MN160";"Por favor, informe um telefone válido.";"Alerta"
"MN161";"Não é possível inativar o estágio de implementação, pois existe vínculo com unidade organizacional.";"Alerta"
"MN162";"Todos os tipos de <descrição da opção acionada> já foram adicionados. É permitido somente alterar ou excluir os registros inseridos. ";"Alerta"
"MN163";"Existe uma pessoa jurídica com o CNPJ informado. Deseja realizar o cadastro como unidade organizacional externa?";"Confirmação"
"MN164";"Por favor, informe um número de fax válido.";"Confirmação"
"MN165";"Perfil(is) abaixo já atribuído(s).";"Alerta"
"MN166";"Não é possível inativar  essa  Unidade Organizacional Interna porque possui unidades vinculadas e ativas.";"Confirmação"
